App Name,Inventory Type,Bundle,Publisher Name,Publisher Id,Content Genre,Device Type
KSNB Local4 Weather,In App,com.khas.android.weather,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
WRDW News,In App,com.graytv.android.wrdwnews,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
WTOC First Alert Radar,In App,com.wtoc.android.weather,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
WAFF 48 First Alert Weather,In App,com.waff.android.weather,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
www.kttc.com,Mobile Web,kttc.com,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
WSFA 12 News,In App,com.raycom.wsfa,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
13abc First Alert Weather,In App,com.wtvg.android.weather,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
www.alaskasnewssource.com,Mobile Web,alaskasnewssource.com,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
KY3 Weather,In App,com.kytv.android.weather,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
WAFB First Alert Weather,In App,com.wafb.android.weather,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
First Alert Weather,In App,com.wlbt.android.weather,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
KFDA - NewsChannel 10 Weather,In App,com.kfda.android.weather,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,4
WAFF 48 News,In App,142798,EB DFP - Raycom Media (63316753),1100035323,No genre passed by the publisher,3
